Club,Name,Country,Age,Experience,Titles
Manchester City,Pep Guardiola,ESP,53,17,40
Arsenal,Mikel Arteta,ESP,42,8,3
Liverpool,Jürgen Klopp,GER,57,23,14
Aston Villa,Unai Emery,ESP,53,20,4
Tottenham Hotspur,Ange Postecoglou,AUS,59,28,13
Chelsea,Mauricio Pochettino,ARG,52,14,3
Newcastle,Eddie Howe,ENG,46,15,1
Manchester United,Erik Ten Hag,NED,54,22,9
West Ham United,David Moyes,SCO,61,24,3
Crystal Palace,Roy Hodgson,ENG,77,48,8
Crystal Palace,Oliver Glasner,AUT,50,13,2
Brighton & Hove Albion,Roberto De Zerbi,ITA,45,1,11
AFC Bournemouth,Andoni Iraola,ESP,42,7,1
Fulham,Marco Silva,POR,47,13,4
Wolverhampton Wanderers,Julen Lopetegui,ESP,58,20,4
Wolverhampton Wanderers,Gary O’Neil,ENG,41,20,7
Everton,Sean Dyche,ENG,53,17,1
Brentford,Thomas Frank,DEN,51,15,0
Nottingham Forest,Steve Cooper,WAL,44,12,1
Nottingham Forest,Nuno Espírito Santo,POR,50,12,3
Luton Town,Rob Edwards,WAL,41,10,1
Burnley,Vincent Kompany,BEL,38,6,1
Sheffield United,Paul Heckingbottom,ENG,47,11,1
Sheffield United,Chris Wilder,ENG,57,23,2
